schema_version,run_id,date,region,mode,scanned_cells,scanned_bytes,records_in,records_out,detect_s,total_s,status,error
v2,1,2025-01-13,usa,usa,9261,33843554,222264,2610,7.415864,8.001337,done,
v2,2,2025-01-13,utah,utah,144,527602,3456,0,0.114357,0.121682,done,
v2,3,2025-01-14,usa,usa,9261,33863445,222264,1804,8.125576,8.410667,done,
v2,4,2025-01-14,utah,utah,144,527789,3456,0,0.111326,0.118042,done,
v2,5,2025-01-15,usa,usa,9261,33837884,222264,2387,7.354743,7.619731,done,
v2,6,2025-01-15,utah,utah,144,527892,3456,0,0.12745,0.135106,done,
v2,7,2025-01-16,usa,usa,9261,33844510,222264,3611,7.874143,8.159655,done,
v2,8,2025-01-16,utah,utah,144,527930,3456,67,0.121429,0.128888,done,
v2,9,2025-01-17,usa,usa,9261,33843046,222264,2574,8.076648,8.355624,done,
v2,10,2025-01-17,utah,utah,144,528511,3456,125,0.11776,0.125868,done,
v2,11,2025-01-21,usa,usa,9261,33797579,222264,2297,7.791396,8.061947,done,
v2,12,2025-01-21,utah,utah,144,526596,3456,7,0.127274,0.134513,done,
v2,13,2025-01-22,usa,usa,9261,33772893,222264,2911,7.513142,7.803872,done,
v2,14,2025-01-22,utah,utah,144,528370,3456,112,0.114931,0.121977,done,
v2,15,2025-01-23,usa,usa,9261,33828575,222264,2837,7.615007,7.892613,done,
v2,16,2025-01-23,utah,utah,144,527304,3456,14,0.11504,0.122046,done,
v2,17,2025-01-24,usa,usa,9261,33793996,222264,2524,7.372186,7.634397,done,
v2,18,2025-01-24,utah,utah,144,528511,3456,0,0.111398,0.118654,done,
v2,19,2025-01-27,usa,usa,9261,33816290,222264,2552,7.774156,8.03809,done,
v2,20,2025-01-27,utah,utah,144,527025,3456,53,0.128604,0.13527,done,
v2,21,2025-01-28,usa,usa,9261,33897747,222264,3171,7.567617,7.834758,done,
v2,22,2025-01-28,utah,utah,144,525343,3456,7,0.116797,0.124013,done,
v2,23,2025-01-29,usa,usa,9261,33851585,222264,3439,7.505014,7.778402,done,
v2,24,2025-01-29,utah,utah,144,525248,3456,5,0.129458,0.13684,done,
v2,25,2025-01-30,usa,usa,9261,33841736,222264,3679,7.979296,8.269133,done,
v2,26,2025-01-30,utah,utah,144,526216,3456,0,0.111223,0.11865,done,
v2,27,2025-01-31,usa,usa,9261,33827677,222264,4447,7.572493,7.840036,done,
v2,28,2025-01-31,utah,utah,144,527114,3456,70,0.115963,0.123534,done,
