schema_version,run_id,date,size,k,region,selector,discovery,adapter_mode,event_count,candidate_count,selected_count,ingest_s,detect_s,discover_s,select_s,stream_s,total_s,bytes_in,bytes_out,records_in,records_out,scanned_cells,scanned_bytes,adapter_websocket_count,adapter_rest_count,adapter_csv_replay_count,status,error,prediction_file,cohort_file
v2,1,2025-01-13,8,1,utah,linear,ndp,unknown,0,8,0,0.006406,0.122714,0.063478,4e-06,0.0,0.463147,527602,46,3456,0,144,527602,0,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-13_0000-1200_12h_utah.csv,sensors_8
v2,2,2025-01-14,8,1,utah,linear,ndp,unknown,0,8,0,0.00577,0.156996,0.058483,5e-06,0.0,0.223142,527789,46,3456,0,144,527789,0,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-14_0000-1200_12h_utah.csv,sensors_8
v2,3,2025-01-15,8,1,utah,linear,ndp,websocket,118,8,8,0.006738,0.13238,0.068511,0.000863,0.0,0.210555,527892,111,3456,8,144,527892,8,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-15_0000-1200_12h_utah.csv,sensors_8
v2,4,2025-01-16,8,1,utah,linear,ndp,websocket,112,8,7,0.005263,0.113733,0.059087,0.000916,0.0,0.180765,527930,103,3456,7,144,527930,7,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-16_0000-1200_12h_utah.csv,sensors_8
v2,5,2025-01-17,8,1,utah,linear,ndp,websocket,216,8,8,0.005399,0.122451,0.060799,0.001555,0.0,0.192102,528511,111,3456,8,144,528511,8,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-17_0000-1200_12h_utah.csv,sensors_8
v2,6,2025-01-21,8,1,utah,linear,ndp,websocket,38,8,2,0.005306,0.125774,0.059999,0.000319,0.0,0.19328,526596,64,3456,2,144,526596,2,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-21_0000-1200_12h_utah.csv,sensors_8
v2,7,2025-01-22,8,1,utah,linear,ndp,websocket,126,8,3,0.006242,0.131146,0.057694,0.001257,0.0,0.198329,528370,73,3456,3,144,528370,3,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-22_0000-1200_12h_utah.csv,sensors_8
v2,8,2025-01-23,8,1,utah,linear,ndp,websocket,50,8,3,0.006717,0.160352,0.060704,0.000383,0.0,0.23053,527304,72,3456,3,144,527304,3,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-23_0000-1200_12h_utah.csv,sensors_8
v2,9,2025-01-24,8,1,utah,linear,ndp,websocket,27,8,2,0.005244,0.135656,0.061241,0.000213,0.0,0.204127,528511,64,3456,2,144,528511,2,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-24_0000-1200_12h_utah.csv,sensors_8
v2,10,2025-01-27,8,1,utah,linear,ndp,websocket,119,8,5,0.005737,0.139989,0.05396,0.00095,0.0,0.20251,527025,87,3456,5,144,527025,5,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-27_0000-1200_12h_utah.csv,sensors_8
v2,11,2025-01-28,8,1,utah,linear,ndp,websocket,81,8,5,0.0056,0.152815,0.065176,0.000639,0.0,0.226257,525343,86,3456,5,144,525343,5,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-28_0000-1200_12h_utah.csv,sensors_8
v2,12,2025-01-29,8,1,utah,linear,ndp,websocket,20,8,3,0.005048,0.113677,0.05425,0.000188,0.0,0.174898,525248,72,3456,3,144,525248,3,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-29_0000-1200_12h_utah.csv,sensors_8
v2,13,2025-01-30,8,1,utah,linear,ndp,websocket,40,8,3,0.005469,0.1173,0.062495,0.00031,0.0,0.187423,526216,72,3456,3,144,526216,3,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-30_0000-1200_12h_utah.csv,sensors_8
