schema_version,run_id,date,size,k,region,selector,discovery,adapter_mode,event_count,candidate_count,selected_count,ingest_s,detect_s,discover_s,select_s,stream_s,total_s,bytes_in,bytes_out,records_in,records_out,scanned_cells,scanned_bytes,adapter_websocket_count,adapter_rest_count,adapter_csv_replay_count,status,error,prediction_file,cohort_file
v2,1,2025-01-13,8,1,utah,kdtree,ndp,unknown,0,8,0,0.006595,0.116245,0.054746,4e-06,0.0,0.498816,527602,46,3456,0,144,527602,0,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-13_0000-1200_12h_utah.csv,sensors_8
v2,2,2025-01-14,8,1,utah,kdtree,ndp,unknown,0,8,0,0.00561,0.124739,0.058312,4e-06,0.0,0.19058,527789,46,3456,0,144,527789,0,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-14_0000-1200_12h_utah.csv,sensors_8
v2,3,2025-01-15,8,1,utah,kdtree,ndp,websocket,118,8,8,0.00588,0.117956,0.061923,0.422928,0.0,0.610533,527892,111,3456,8,144,527892,8,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-15_0000-1200_12h_utah.csv,sensors_8
v2,4,2025-01-16,8,1,utah,kdtree,ndp,websocket,112,8,7,0.006347,0.117824,0.055822,0.000421,0.0,0.182319,527930,103,3456,7,144,527930,7,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-16_0000-1200_12h_utah.csv,sensors_8
v2,5,2025-01-17,8,1,utah,kdtree,ndp,websocket,216,8,8,0.005338,0.117879,0.056414,0.000495,0.0,0.181864,528511,111,3456,8,144,528511,8,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-17_0000-1200_12h_utah.csv,sensors_8
v2,6,2025-01-21,8,1,utah,kdtree,ndp,websocket,38,8,2,0.005349,0.137715,0.05526,0.000303,0.0,0.200492,526596,64,3456,2,144,526596,2,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-21_0000-1200_12h_utah.csv,sensors_8
v2,7,2025-01-22,8,1,utah,kdtree,ndp,websocket,126,8,3,0.005538,0.11806,0.05726,0.000384,0.0,0.183073,528370,73,3456,3,144,528370,3,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-22_0000-1200_12h_utah.csv,sensors_8
v2,8,2025-01-23,8,1,utah,kdtree,ndp,websocket,50,8,3,0.005287,0.117123,0.060333,0.000328,0.0,0.184781,527304,72,3456,3,144,527304,3,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-23_0000-1200_12h_utah.csv,sensors_8
v2,9,2025-01-24,8,1,utah,kdtree,ndp,websocket,27,8,2,0.005246,0.115916,0.06189,0.000292,0.0,0.185027,528511,64,3456,2,144,528511,2,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-24_0000-1200_12h_utah.csv,sensors_8
v2,10,2025-01-27,8,1,utah,kdtree,ndp,websocket,119,8,5,0.005628,0.143274,0.065001,0.000466,0.0,0.216374,527025,87,3456,5,144,527025,5,0,0,done,,/uufs/chpc.utah.edu/common/home/u1494915/stream-simulation-ebus/data/processed/predictions/2025-01-27_0000-1200_12h_utah.csv,sensors_8
