size,k,runs_linear,select_p50_linear_s,select_p95_linear_s,total_p50_linear_s,total_p95_linear_s,runs_kdtree,select_p50_kdtree_s,select_p95_kdtree_s,total_p50_kdtree_s,total_p95_kdtree_s,delta_select_p50_s,delta_select_p95_s,delta_total_p50_s,delta_total_p95_s,delta_select_p50_pct,delta_select_p95_pct,delta_total_p50_pct,delta_total_p95_pct,speedup_select_p50_x,speedup_select_p95_x,speedup_total_p50_x,speedup_total_p95_x
8,1,14,0.000511,0.001737,0.2004195,0.31194595,14,0.000356,0.14842715,0.185918,0.53791695,0.000155,-0.14669015,0.0145015,-0.225971,30.3326810176125,-8445.02878526194,7.23557338482533,-72.4391517184307,1.43539325842697,0.0117027107237456,1.0779994406136,0.579914706164214
8,3,14,0.000157,0.0008614,0.180953,0.19628155,14,0.0002965,0.00043235,0.182618,0.2061272,-0.0001395,0.00042905,-0.001665,-0.00984565000000001,-88.8535031847134,49.808451358254,-0.920128431139578,-5.01608531214473,0.529510961214165,1.99236729501561,0.990882607410003,0.952235076205372
8,6,14,6.85e-05,0.0007514,0.183051,0.20195655,14,0.0002965,0.0005493,0.203633,0.22696635,-0.000228,0.0002021,-0.020582,-0.0250098,-332.846715328467,26.8964599414426,-11.2438610004862,-12.383752841886,0.231028667790894,1.36792281085017,0.898926009045685,0.889808335024113
8,9,14,5.9e-05,0.00068885,0.18085,0.1985933,14,0.0002725,0.0004717,0.191147,0.23157855,-0.0002135,0.00021715,-0.010297,-0.03298525,-361.864406779661,31.523553749002,-5.69366878628698,-16.6094475493383,0.21651376146789,1.46035615857537,0.946130465034764,0.857563448773645
8,12,14,4e-06,0.00033805,0.1853455,0.22041545,14,3.5e-06,0.00038325,0.181184,0.1987807,5e-07,-4.52000000000001e-05,0.00416149999999998,0.02163475,12.5,-13.3708031356308,2.24526627298747,9.81544170338331,1.14285714285714,0.882061317677756,1.02296836365242,1.10883727645591
200,1,14,0.910634,1.21299495,8.843785,9.26870765,14,0.009035,0.0128264,8.2268785,8.49824395,0.901599,1.20016855,0.616906500000001,0.770463700000001,99.0078341023946,98.9425842209813,6.97559359482394,8.31252564104771,100.789596015495,94.5701794735857,1.07498670364464,1.09066151837169
200,3,14,0.614718,0.8129565,8.5408035,8.661151,14,0.006299,0.0124185,8.1013525,8.35752455,0.608419,0.800538,0.439450999999998,0.303626450000001,98.9753024964293,98.4724274915079,5.14531214773877,3.50561316850383,97.5897761549452,65.4633409832105,1.05424415244245,1.03632971081132
200,6,14,0.413459,0.57641095,8.3521875,8.7832112,14,0.0044925,0.00613635,8.0788925,8.36484295,0.4089665,0.5702746,0.273294999999999,0.41836825,98.9134351894625,98.9354209874049,3.27213679051146,4.76327211623922,92.0331663884252,93.9338450381742,1.03382827534838,1.05001507529798
200,9,14,0.2442795,0.36445695,8.05092,8.19391195,14,0.002965,0.00407025,8.096618,8.3194368,0.2413145,0.3603867,-0.0456979999999998,-0.125524850000001,98.7862264332455,98.8832014316094,-0.567612148673689,-1.53192822629735,82.3876897133221,89.54166206007,0.994355915025261,0.984911857254568
200,12,14,0.1271435,0.1706601,7.977557,8.1553816,14,0.001632,0.0022232,8.065368,8.3206254,0.1255115,0.1684369,-0.0878109999999994,-0.165243799999999,98.7164109844389,98.6972936263368,-1.1007254476527,-2.02619335433671,77.906556372549,76.7632691615689,0.989112586059309,0.980140459153467
681,1,14,3.1666535,4.27072725,11.273265,12.3474718,14,0.0101695,0.01261255,8.405499,8.62088245,3.156484,4.2581147,2.867766,3.72658935,99.6788565594562,99.7046744204983,25.4386462129649,30.1809909782503,311.387334677221,338.609341489231,1.34117736496072,1.43227469712222
681,3,14,2.1245955,2.90610445,10.2334305,10.90523785,14,0.006701,0.0094055,8.349876,8.85307485,2.1178945,2.89669895,1.8835545,2.052163,99.6845987859807,99.6763536837088,18.4058952664993,18.8181406790683,317.05648410685,308.979262133858,1.22557873913337,1.2318022873149
681,6,14,1.4243455,2.0231288,9.5156575,10.11720965,14,0.0051245,0.0065768,8.394178,8.9473262,1.419221,2.016552,1.1214795,1.16988345,99.6402207189197,99.674919362524,11.7856228011569,11.5633014484384,277.948190067324,307.615983457,1.13360206323955,1.1307522967029
