size,k,runs,select_p50_s,select_p95_s,total_p50_s,total_p95_s
8,1,14,0.000511,0.0017369999999999998,0.2004195,0.3119459499999999
8,3,14,0.000157,0.0008614,0.180953,0.19628155
8,6,14,6.850000000000001e-05,0.0007513999999999999,0.183051,0.20195654999999998
8,9,14,5.9e-05,0.00068885,0.18085,0.1985933
8,12,14,4e-06,0.00033804999999999995,0.1853455,0.22041544999999998
200,1,14,0.9106339999999999,1.21299495,8.843785,9.26870765
200,3,14,0.6147180000000001,0.8129565,8.540803499999999,8.661151
200,6,14,0.413459,0.57641095,8.3521875,8.7832112
200,9,14,0.24427949999999998,0.36445695,8.05092,8.193911949999999
200,12,14,0.12714350000000002,0.17066009999999998,7.977557,8.1553816
681,1,14,3.1666535,4.27072725,11.273264999999999,12.3474718
681,3,14,2.1245955,2.9061044499999995,10.2334305,10.905237849999999
681,6,14,1.4243455,2.0231288,9.5156575,10.11720965
681,9,14,0.8388059999999999,1.3103675000000001,8.865804,9.39892645
681,12,14,0.43433750000000004,0.60023015,8.461492,8.77877595
1000,1,14,4.771662,6.33945635,13.149051499999999,14.738104700000001
1000,3,14,3.1841665,4.3806968,11.3040755,12.6984198
1000,6,14,2.042712,3.0376396,10.352313500000001,11.321238249999999
1000,9,14,1.2564015,1.8975239,9.6145995,10.31923355
1000,12,14,0.601677,0.8885093,8.829871,9.125974
2365,1,14,11.271418,15.139982,19.953095,23.86298805
2365,3,14,7.7206695,10.500339949999999,16.426101000000003,19.2300523
2365,6,14,5.0034535,7.2337671,13.563066500000001,15.75501915
2365,9,14,3.05761,4.7542652499999996,11.551112,13.6532689
2365,12,14,1.508232,2.14416955,9.968257,10.7693298
